End Date,End Time,NO2
01/01/2017,01:00:00,37.96313
01/01/2017,02:00:00,35.42906
01/01/2017,03:00:00,38.39344
01/01/2017,04:00:00,33.42094
01/01/2017,05:00:00,26.29688
01/01/2017,06:00:00,27.87469
01/01/2017,07:00:00,23.14125
01/01/2017,08:00:00,21.22875
01/01/2017,09:00:00,20.32031
01/01/2017,10:00:00,20.2725
01/01/2017,11:00:00,27.87469
01/01/2017,12:00:00,28.305
01/01/2017,13:00:00,15.20438
01/01/2017,14:00:00,9.99281
01/01/2017,15:00:00,12.81375
01/01/2017,16:00:00,14.43938
01/01/2017,17:00:00,12.14438
01/01/2017,18:00:00,15.73031
01/01/2017,19:00:00,15.73031
01/01/2017,20:00:00,10.90125
01/01/2017,21:00:00,14.96531
01/01/2017,22:00:00,11.0925
01/01/2017,23:00:00,9.32344
01/01/2017,24:00:00,8.98875
02/01/2017,01:00:00,7.02844
02/01/2017,02:00:00,7.93688
02/01/2017,03:00:00,6.40688
02/01/2017,04:00:00,5.54625
02/01/2017,05:00:00,6.35906
02/01/2017,06:00:00,5.25938
02/01/2017,07:00:00,12.00094
02/01/2017,08:00:00,17.16469
02/01/2017,09:00:00,12.95719
02/01/2017,10:00:00,18.07313
02/01/2017,11:00:00,19.22063
02/01/2017,12:00:00,18.55125
02/01/2017,13:00:00,22.28063
02/01/2017,14:00:00,21.32438
02/01/2017,15:00:00,26.05781
02/01/2017,16:00:00,40.9275
02/01/2017,17:00:00,60.19594
02/01/2017,18:00:00,58.47469
02/01/2017,19:00:00,60.76969
02/01/2017,20:00:00,49.86844
02/01/2017,21:00:00,45.94781
02/01/2017,22:00:00,41.78813
02/01/2017,23:00:00,40.35375
02/01/2017,24:00:00,40.9275
03/01/2017,01:00:00,39.25406
03/01/2017,02:00:00,36.67219
03/01/2017,03:00:00,32.79938
03/01/2017,04:00:00,32.84719
03/01/2017,05:00:00,31.07813
03/01/2017,06:00:00,31.89094
03/01/2017,07:00:00,35.5725
03/01/2017,08:00:00,54.60188
03/01/2017,09:00:00,63.82969
03/01/2017,10:00:00,50.34656
03/01/2017,11:00:00,54.50625
03/01/2017,12:00:00,54.02813
03/01/2017,13:00:00,56.08406
03/01/2017,14:00:00,55.65375
03/01/2017,15:00:00,68.70656
03/01/2017,16:00:00,61.00875
03/01/2017,17:00:00,78.50813
03/01/2017,18:00:00,64.06875
03/01/2017,19:00:00,52.88063
03/01/2017,20:00:00,57.27938
03/01/2017,21:00:00,47.28656
03/01/2017,22:00:00,38.34563
03/01/2017,23:00:00,38.29781
03/01/2017,24:00:00,23.76281
04/01/2017,01:00:00,16.54313
04/01/2017,02:00:00,14.10469
04/01/2017,03:00:00,14.24813
04/01/2017,04:00:00,12.28781
04/01/2017,05:00:00,10.42313
04/01/2017,06:00:00,14.67844
04/01/2017,07:00:00,31.365
04/01/2017,08:00:00,56.84906
04/01/2017,09:00:00,48.62531
04/01/2017,10:00:00,37.96313
04/01/2017,11:00:00,48.48188
04/01/2017,12:00:00,30.79125
04/01/2017,13:00:00,32.22563
04/01/2017,14:00:00,31.41281
04/01/2017,15:00:00,36.48094
04/01/2017,16:00:00,37.77188
04/01/2017,17:00:00,53.31094
04/01/2017,18:00:00,59.57438
04/01/2017,19:00:00,47.28656
04/01/2017,20:00:00,47.38219
04/01/2017,21:00:00,43.65281
