date,time,no2,ws,wd,temp
11/05/2019,01:00:00,10.22851,1.8,71.9,5.9
11/05/2019,02:00:00,7.25534,1.1,55.7,6
11/05/2019,03:00:00,14.42179,1.7,21.2,6
11/05/2019,04:00:00,7.70252,1.7,48.4,6.1
11/05/2019,05:00:00,7.84583,1.5,69.8,6.1
11/05/2019,06:00:00,14.07505,1.2,356.8,6.2
11/05/2019,07:00:00,18.91469,1.6,318.6,6.8
11/05/2019,08:00:00,18.81737,3.5,321.5,7.3
11/05/2019,09:00:00,19.79812,3.6,334.2,8.2
11/05/2019,10:00:00,14.28894,3.4,347.9,8.8
11/05/2019,11:00:00,12.61353,3.5,33.6,9.8
11/05/2019,12:00:00,18.93131,3,37.6,10.6
11/05/2019,13:00:00,16.99487,3.7,18,12.1
11/05/2019,14:00:00,18.00628,4.9,13,11.8
11/05/2019,15:00:00,20.26053,4.8,18.2,12.4
11/05/2019,16:00:00,17.73992,4.1,28.4,12.4
11/05/2019,17:00:00,20.99748,3.5,37.1,12
11/05/2019,18:00:00,24.18452,3.3,37.2,11.1
11/05/2019,19:00:00,21.30456,2.3,45.9,10
11/05/2019,20:00:00,23.1505,3.3,36.2,8.8
11/05/2019,21:00:00,26.80016,1,71.7,8.5
11/05/2019,22:00:00,41.86263,1.6,340.9,8.1
11/05/2019,23:00:00,36.15992,1.9,10.9,7.8
11/05/2019,24:00:00,29.58828,2.3,29.6,7.5
12/05/2019,01:00:00,20.12139,1.1,241.9,2.7
12/05/2019,02:00:00,27.73506,1.4,233.2,2.1
12/05/2019,03:00:00,24.37132,1.1,263.2,1.1
12/05/2019,04:00:00,20.2902,0.9,260.6,1
12/05/2019,05:00:00,17.8313,1,259.2,0.6
12/05/2019,06:00:00,17.38343,0.9,265.5,1.7
12/05/2019,07:00:00,17.70285,0.5,304.5,4.5
12/05/2019,08:00:00,14.71131,0.9,48.7,7.8
12/05/2019,09:00:00,12.52321,1.9,68.8,10.6
12/05/2019,10:00:00,13.07364,2.7,55.4,12
12/05/2019,11:00:00,15.37538,3.4,48.1,12.8
12/05/2019,12:00:00,16.70455,3.6,42.7,13.2
12/05/2019,13:00:00,17.61981,3.5,43.7,13.5
12/05/2019,14:00:00,16.73971,3.5,50.9,13.8
12/05/2019,15:00:00,17.19521,3.1,56.2,13.9
12/05/2019,16:00:00,21.76127,3.2,59.4,13.7
12/05/2019,17:00:00,21.22483,3.4,67.8,13.2
12/05/2019,18:00:00,22.7583,3.5,76,12.4
12/05/2019,19:00:00,25.24646,2.9,78.9,10.7
12/05/2019,20:00:00,30.92229,2.8,100,8.8
12/05/2019,21:00:00,25.32232,2.7,121.8,7.6
12/05/2019,22:00:00,21.90199,2.5,133.6,6.5
12/05/2019,23:00:00,21.08203,2.3,126.8,5.6
12/05/2019,24:00:00,19.50958,2.2,132.1,4.9
13/05/2019,01:00:00,13.25614,1.8,162.9,2.8
13/05/2019,02:00:00,14.40247,1.5,171.2,2.3
13/05/2019,03:00:00,16.99185,1.1,178.4,1.8
13/05/2019,04:00:00,26.09837,0.8,155,1.8
13/05/2019,05:00:00,32.87088,0.6,111.8,1.3
13/05/2019,06:00:00,43.31668,0.5,76,1
13/05/2019,07:00:00,29.79293,0.5,55.8,1.4
13/05/2019,08:00:00,35.50649,0.7,47.9,3
13/05/2019,09:00:00,28.29859,1.7,55.4,8.3
13/05/2019,10:00:00,25.85504,2.2,59.4,11.3
13/05/2019,11:00:00,22.41495,3.1,56.8,12.8
13/05/2019,12:00:00,25.37242,3.6,58.6,13.6
13/05/2019,13:00:00,24.68842,4,57.7,14.1
13/05/2019,14:00:00,25.18137,4.1,64.7,14.7
13/05/2019,15:00:00,30.91112,4.1,74,15.2
13/05/2019,16:00:00,22.65431,4,76.6,15
13/05/2019,17:00:00,29.14273,4.4,78,14.2
13/05/2019,18:00:00,25.1749,3.7,90.2,13.2
13/05/2019,19:00:00,30.02145,2.6,100,11.8
13/05/2019,20:00:00,36.11533,2.5,111.6,9.8
13/05/2019,21:00:00,44.02889,2.5,117.9,8.4
13/05/2019,22:00:00,42.73813,2.3,124.1,7.3
13/05/2019,23:00:00,41.89458,2.1,135,6.4
13/05/2019,24:00:00,41.2244,1.8,161.7,5.7
14/05/2019,01:00:00,20.92724,1.5,107,3.6
14/05/2019,02:00:00,36.55735,1.6,111.1,3
14/05/2019,03:00:00,36.21073,1.5,92.9,2.7
14/05/2019,04:00:00,21.73464,1.5,71.9,2.4
14/05/2019,05:00:00,22.41344,1.7,66.4,2.3
14/05/2019,06:00:00,33.5822,2,79.8,4.5
14/05/2019,07:00:00,40.5686,2.7,99.4,7.9
14/05/2019,08:00:00,33.59362,3.4,111.4,10.4
14/05/2019,09:00:00,27.60649,3.9,104.3,11.8
14/05/2019,10:00:00,25.15548,3.8,92.3,13
