End Date,End Time,NO2
01/01/2020,01:00:00,29.89503
01/01/2020,02:00:00,40.41496
01/01/2020,03:00:00,34.57873
01/01/2020,04:00:00,30.37369
01/01/2020,05:00:00,30.91166
01/01/2020,06:00:00,35.00256
01/01/2020,07:00:00,37.63631
01/01/2020,08:00:00,35.77895
01/01/2020,09:00:00,34.31849
01/01/2020,10:00:00,31.68985
01/01/2020,11:00:00,33.41957
01/01/2020,12:00:00,36.5544
01/01/2020,13:00:00,37.24819
01/01/2020,14:00:00,40.95202
01/01/2020,15:00:00,37.51683
01/01/2020,16:00:00,40.98859
01/01/2020,17:00:00,41.38947
01/01/2020,18:00:00,35.43408
01/01/2020,19:00:00,36.50835
01/01/2020,20:00:00,34.28129
01/01/2020,21:00:00,31.47125
01/01/2020,22:00:00,27.57558
01/01/2020,23:00:00,29.36633
01/01/2020,24:00:00,35.78763
02/01/2020,01:00:00,34.07252
02/01/2020,02:00:00,29.90733
02/01/2020,03:00:00,29.27767
02/01/2020,04:00:00,26.33619
02/01/2020,05:00:00,21.03197
02/01/2020,06:00:00,18.60004
02/01/2020,07:00:00,26.24223
02/01/2020,08:00:00,30.45871
02/01/2020,09:00:00,34.25022
02/01/2020,10:00:00,35.33577
02/01/2020,11:00:00,34.53534
02/01/2020,12:00:00,35.4533
02/01/2020,13:00:00,37.84829
02/01/2020,14:00:00,38.1923
02/01/2020,15:00:00,39.58155
02/01/2020,16:00:00,43.74224
02/01/2020,17:00:00,40.42423
02/01/2020,18:00:00,41.4933
02/01/2020,19:00:00,40.06878
02/01/2020,20:00:00,23.6019
02/01/2020,21:00:00,26.76898
02/01/2020,22:00:00,26.49758
02/01/2020,23:00:00,24.16255
02/01/2020,24:00:00,12.27432
03/01/2020,01:00:00,7.22305
03/01/2020,02:00:00,6.59118
03/01/2020,03:00:00,5.51237
03/01/2020,04:00:00,7.11464
03/01/2020,05:00:00,6.85069
03/01/2020,06:00:00,6.96044
03/01/2020,07:00:00,24.33244
03/01/2020,08:00:00,42.31657
03/01/2020,09:00:00,40.53009
03/01/2020,10:00:00,30.95881
03/01/2020,11:00:00,20.11057
03/01/2020,12:00:00,30.69184
03/01/2020,13:00:00,33.83181
03/01/2020,14:00:00,59.93898
03/01/2020,15:00:00,49.51238
03/01/2020,16:00:00,65.22697
03/01/2020,17:00:00,82.69395
03/01/2020,18:00:00,70.77096
03/01/2020,19:00:00,53.9672
03/01/2020,20:00:00,50.03014
03/01/2020,21:00:00,43.42966
03/01/2020,22:00:00,36.62093
03/01/2020,23:00:00,37.57734
