date,time,no2,ws,wd,temp
11/05/2019,01:00:00,6.00892,2,99,5.9
11/05/2019,02:00:00,4.65349,1.5,102.8,5.9
11/05/2019,03:00:00,3.86341,1.2,49.1,5.8
11/05/2019,04:00:00,4.50669,1.5,52.4,5.8
11/05/2019,05:00:00,4.9022,1.4,73.2,6.1
11/05/2019,06:00:00,4.90406,1.1,30.5,6.3
11/05/2019,07:00:00,4.30381,1.3,336.2,6.7
11/05/2019,08:00:00,4.69932,2.3,326.8,7.4
11/05/2019,09:00:00,5.08643,3,336.1,8.1
11/05/2019,10:00:00,4.28609,3.5,353.8,8.9
11/05/2019,11:00:00,2.16736,3.2,35.5,9.7
11/05/2019,12:00:00,1.77931,2.9,31.2,10.7
11/05/2019,13:00:00,1.82234,3.7,12.3,11.3
11/05/2019,14:00:00,1.57456,4.9,6,11.3
11/05/2019,15:00:00,1.82234,4.9,17.9,12.2
11/05/2019,16:00:00,1.8242,4.3,22.5,12.2
11/05/2019,17:00:00,1.87656,3.4,30.9,11.8
11/05/2019,18:00:00,2.07478,3.2,28.8,11
11/05/2019,19:00:00,3.11543,2.3,50.6,9.7
11/05/2019,20:00:00,5.69508,3.3,19.6,8.8
11/05/2019,21:00:00,5.00038,1.5,81.3,8.4
11/05/2019,22:00:00,6.03916,1.8,348,8.1
11/05/2019,23:00:00,7.03026,1.7,358.6,7.7
11/05/2019,24:00:00,8.36731,2.1,7,7.1
12/05/2019,01:00:00,7.40166,0.9,223.1,2.5
12/05/2019,02:00:00,8.1824,1.4,216.9,2.2
12/05/2019,03:00:00,10.42872,1.3,224,1.3
12/05/2019,04:00:00,9.74871,0.8,224.1,0.3
12/05/2019,05:00:00,10.12427,1,227.5,0.5
12/05/2019,06:00:00,7.78193,0.8,283.9,2.3
12/05/2019,07:00:00,6.83871,0.5,322,4.7
12/05/2019,08:00:00,4.5304,1.3,58.6,8.3
12/05/2019,09:00:00,2.60992,2.1,56.7,10.6
12/05/2019,10:00:00,2.11881,2.9,47.5,11.8
12/05/2019,11:00:00,2.11693,3.3,44.7,12.6
12/05/2019,12:00:00,1.47331,3.4,40.7,13.1
12/05/2019,13:00:00,1.67352,3.4,42.8,13.5
12/05/2019,14:00:00,2.22457,3.2,50.4,13.7
12/05/2019,15:00:00,2.21986,3.1,54.8,13.8
12/05/2019,16:00:00,2.1207,3.2,59.8,13.6
12/05/2019,17:00:00,5.28543,3.4,70.8,13.1
12/05/2019,18:00:00,6.22371,3.6,78.6,12.2
12/05/2019,19:00:00,5.98146,2.9,84.5,10.5
12/05/2019,20:00:00,5.34538,2.9,105.5,8.7
12/05/2019,21:00:00,6.82717,2.7,120,7.4
12/05/2019,22:00:00,12.57108,2.5,131.4,6.3
12/05/2019,23:00:00,11.04442,2.5,128,5.4
12/05/2019,24:00:00,8.96671,2.4,124.6,4.7
13/05/2019,01:00:00,10.20285,1.9,160.7,2.6
13/05/2019,02:00:00,9.78826,1.6,164,2
13/05/2019,03:00:00,16.23395,0.9,180.5,1.1
13/05/2019,04:00:00,14.99375,0.6,174.6,1.5
13/05/2019,05:00:00,12.57969,0.3,127.6,1.8
13/05/2019,06:00:00,14.90047,0.5,44,1.7
13/05/2019,07:00:00,16.45691,0.8,32,2.1
13/05/2019,08:00:00,8.71591,1,36.6,3.6
13/05/2019,09:00:00,9.09945,1.7,34.6,8.6
13/05/2019,10:00:00,5.67067,2.3,49.1,11.5
13/05/2019,11:00:00,6.01602,3.2,56.3,12.9
